8/11,Amirali AZARPIRA,Wrestling - Men's Freestyle 97kg,328,3
8/06,Amit ELOR,Wrestling - Women's Freestyle 68kg,322,1
8/08,Amit ROHIDAS,Hockey - Men,166,3
8/11,Amy ATWELL,Basketball - Women,76,3
8/09,Amy HUNT,Athletics - Women's 4 x 100m Relay,66,2
8/03,AN Baul,Judo - Mixed Team,182,3
7/28,AN Qixuan,Archery - Women's Team,4,2
8/05,AN Se Young,Badminton - Women's Singles,71,1
8/05,Ana BARBOSU,Artistic Gymnastics - Women's Floor Exercise,18,3
8/10,ANA CRISTINA,Volleyball - Women,299,3
8/09,Ana Patricia SILVA RAMOS,Beach Volleyball - Women,80,1
7/28,Ana VAZQUEZ,Archery - Women's Team,4,3
8/10,ANA VITORIA,Football - Women,161,2
8/09,Anastasia NICHITA,Wrestling - Women's Freestyle 57kg,320,2
7/31,Anastasiia KIRPICHNIKOVA,Swimming - Women's 1500m Freestyle,245,2
8/09,Anastasiia RYBACHOK,Canoe Sprint - Women's Canoe Double 500m,111,2
8/03,Ancuta BODNAR,Rowing - Women's Eight,201,1
8/01,Ancuta BODNAR,Rowing - Women's Double Sculls,191,2
8/10,Anders Berntsen MOL,Beach Volleyball - Men,79,3
8/09,ANDERSON,Volleyball - Men,298,3
8/08,Anderson PETERS,Athletics - Men's Javelin Throw,40,3
7/31,Andras SZATMARI,Fencing - Men's Sabre Team,159,2
8/09,Andre De GRASSE,Athletics - Men's 4 x 100m Relay,43,1
7/31,Andrea PANIZZA,Rowing - Men's Quadruple Sculls,200,2
7/31,Andrea SPENDOLINI SIRIEIX,Diving - Women's Synchronised 10m Platform,137,3
8/11,Andreas WOLFF,Handball - Men,164,2
8/01,Andrei Sebastian CORNEA,Rowing - Men's Double Sculls,192,1
7/30,Andreja LESKI,Judo - Women -63 kg,171,1
8/10,Andrew ALBICY,Basketball - Men,75,2
8/03,Andrew GOULD,Equestrian - Dressage Team,144,3
8/02,Andrin GULICH,Rowing - Men's Pair,190,3
8/09,Andy DIAZ HERNANDEZ,Athletics - Men's Triple Jump,36,3
8/09,Andy DIOUF,Football - Men,160,2
7/27,Andy TIMO,Rugby Sevens - Men,203,1
8/05,Angel BARAJAS,Artistic Gymnastics - Men's Horizontal Bar,12,2
7/30,Angela ANDREOLI,Artistic Gymnastics - Women's Team,19,2
7/28,Angela RUIZ,Archery - Women's Team,4,3
8/05,Angele HUG,Canoe Slalom - Women's Kayak Cross,101,2
8/10,ANGELINA,Football - Women,161,2
8/09,Angie Paola PALACIOS DAJOMES,Weightlifting - Women's 71kg,304,3
8/07,Anita ALVAREZ,Artistic Swimming - Team,21,2
8/09,Ann-Katrin BERGER,Football - Women,161,3
8/08,Anna COCKRELL,Athletics - Women's 400m Hurdles,55,2
7/27,Anna HENDERSON,Cycling Road - Women's Individual Time Trial,121,2
8/07,Anna MORRIS,Cycling Track - Women's Team Pursuit,131,3
8/01,Anna PEPLOWSKI,Swimming - Women's 4 x 200m Freestyle Relay,255,2
8/02,Annabelle McINTYRE,Rowing - Women's Pair,189,3
8/07,Anne-Marie RINDOM,Sailing - Women's Dinghy,211,2
8/10,Anne Mette HANSEN,Handball - Women,165,3
8/10,Anne van de WIEL,Athletics - Women's 4 x 400m Relay,67,2
8/09,Anne VEENENDAAL,Hockey - Women,167,1
8/08,Annelous LAMMERTS,Sailing - Women's Kite,210,3
8/02,Annette DUETZ,Sailing - Women's Skiff,212,1
8/06,Annette Nneka ECHIKUNWOKE,Athletics - Women's Hammer Throw,62,2
8/10,Anni ESPAR LLAQUET,Water Polo - Women,301,1
8/03,Annie CAMPBELL-ORDE,Rowing - Women's Eight,201,3
8/09,ANRAKU Sorato,Sport Climbing - Men's Boulder & Lead,236,2
8/11,Ante VUKICEVIC,Water Polo - Men,300,2
8/10,Anthony DAVIS,Basketball - Men,75,1
8/10,Anthony EDWARDS,Basketball - Men,75,1
8/02,Anthony HARDING,Diving - Men's Synchronised 3m Springboard,140,3
7/31,Anthony JEANJEAN,Cycling BMX Freestyle - Men's Park,113,3
8/10,Anthony PESELA,Athletics - Men's 4 x 400m Relay,44,2
7/27,Antoine DUPONT,Rugby Sevens - Men,203,1
